MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST
ACURA,ILX 4DR SEDAN/HYBRID,12,455,180,141,267,1356,121,51,30,79,114,96,91,151,152,60/40
ACURA,MDX 4DR SUV AWD/TECH/ELITE,14,492,196,171,282,1970,118,186,40,89,120,98,111,169,168,58/42
ACURA,RDX 4DR SUV AWD/TECH PACKAGE,12,466,187,169,268,1749,129,158,36,86,123,99,99,160,161,59/41
ACURA,RLX 4DR SEDAN,13,499,190,146,285,1788,133,56,37,80,113,100,114,163,163,61/39
ACURA,RLX 4DR SEDAN - SPORT HYBRID,13,499,190,146,285,1980,133,56,37,80,113,100,114,163,163,57/43
ACURA,TLX 4DR SEDAN V6 SH-AWD/Tech/Elite,15,483,185,145,278,1700,138,50,35,81,112,100,107,160,160,61/39
ACURA,TLX 4DR SEDAN V6/Tech/Elite,15,483,185,145,278,1635,138,50,35,81,112,100,107,160,160,60/40
ACURA,TLX 4DR SEDAN/Tech,15,483,185,145,278,1579,138,50,35,81,112,100,107,160,160,60/40
ALFA ROMEO,4C 2DR COUPE,14,399,187,118,238,1118,114,25,26,81,105,86,75,164,160,41/59
ALFA ROMEO,4C 2DR SPIDER,14,399,187,118,238,1128,114,N/A,26,81,105,86,75,164,160,41/59
ASTON MARTIN,DB9 2DR COUPE RWD,15,470,188,127,274,1760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,156,50/50
ASTON MARTIN,DB9 VOLANTE 2DR CONV RWD,15,470,188,127,274,1856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,RAPIDE S 4DR SEDAN RWD,11,502,193,136,299,1990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,VANQUISH 2DR COUPE RWD,08,472,191,128,274,1739,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51/49
ASTON MARTIN,VANQUISH 2DR VOLANTE RWD,08,472,191,129,274,1844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51/49
ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,06,438,187,126,260,1630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
ASTON MARTIN,VANTAGE ROADSTER 2DR CONV RWD V8/V8 S,07,438,187,126,260,1710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
AUDI,A3 CABRIOLET,14,444,180,136,260,1625,120,64,31,81,126,87,97,154,151,60/40
AUDI,A3 SEDAN 1.8 TFSI/2.0TDI,14,446,180,142,264,1440,120,47,34,78,108,87,95,156,153,60/40
AUDI,A3 SEDAN 2.0 TFSI,14,446,180,142,264,1525,120,47,34,78,108,87,95,156,153,60/40
AUDI,A4 4DR SEDAN 2.0 TFSI FWD,09,470,183,143,281,1590,124,50,36,79,106,88,103,155,154,55/45
AUDI,A4 4DR SEDAN 2.0 TFSI QUATTRO,09,470,183,143,281,1640,124,50,36,79,106,88,103,155,154,55/45
AUDI,A4 ALLROAD 2.0 TFSI QUATTRO,13,472,184,147,281,1765,136,152,33,80,108,88,103,158,157,53/47
AUDI,A5 2DR CABRIOLET 2.0 TFSI QUATTRO,10,464,185,137,275,1835,124,48,33,77,111,88,101,157,157,52/48
AUDI,A5 2DR COUPE 2.0 TFSI QUATTRO,08,464,185,137,275,1625,124,48,33,77,111,88,101,157,157,52/48
AUDI,A6 4DR SEDAN 2.0 TFSI QUATTRO,11,492,187,146,291,1795,140,58,37,80,111,92,109,163,162,55/45
AUDI,A6 4DR SEDAN 3.0 TFSI QUATTRO,11,492,187,146,291,1860,140,58,37,80,111,92,109,163,162,55/45
AUDI,A6 4DR SEDAN TDI QUATTRO,11,492,187,146,291,1895,140,58,37,80,111,92,109,163,162,55/45
AUDI,A7 4DR HATCHBACK 3.0 TFSI QUATTRO/TDI QUATTRO,11,497,191,142,291,1910,140,230,34,78,112,93,112,164,164,54/46
AUDI,A8 4DR SEDAN 3.0 TFSI QUATTRO,10,513,195,146,299,1985,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8 4DR SEDAN 4.0 TFSI QUATTRO/3.0 TDI QUATTRO,10,513,195,146,299,2055,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8L 4DR SEDAN LWB 3.0 TFSI QUATTRO,10,526,195,146,312,2025,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8L 4DR SEDAN LWB 4.2 TFSI QUATTRO/3.0 TDI QU,10,526,195,146,312,2080,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8L 4DR SEDAN LWB W12 6.3 FSI QUATTRO,10,526,195,146,312,2180,146,67,32,82,114,100,114,163,163,56/44
AUDI,Q3 5DR SUV 2.0 TFSI FWD,15,439,183,161,260,1585,117,127,36,85,105,91,89,157,158,58/42
AUDI,Q3 5DR SUV 2.0 TFSI QUATTRO,15,439,183,161,260,1670,117,127,36,85,105,91,89,157,158,58/42
AUDI,Q5 5DR SUV 2.0 TFSI QUATTRO,09,463,190,166,281,1850,126,156,40,86,116,91,93,160,160,53/47
AUDI,Q5 5DR SUV 3.0 TFSI QUATTRO,09,463,190,166,281,1975,126,156,40,86,116,91,93,160,160,53/47
AUDI,Q5 5DR SUV HYBRID QUATTRO/TDI QUATTRO,09,463,190,166,281,2010,126,156,40,86,116,91,93,160,160,53/47
AUDI,Q7 4DR SUV 3.0 TFSI PROGRESSIV/TECHNIK,07,509,198,174,300,2355,124,186,39,88,106,97,112,163,165,50/50
AUDI,Q7 4DR SUV 3.0 TFSI QUATTRO SPORT,07,509,198,174,300,2455,124,186,39,88,106,97,112,163,165,50/50
AUDI,Q7 4DR SUV TDI 3.0 QUATTRO PREMIUM/PREMIUM PL,07,509,198,174,300,2525,124,186,39,88,106,97,112,163,165,50/50
AUDI,R8 2DR V10 COUPE FSI QUATTRO,08,443,190,125,265,1695,101,56,30,72,107,100,78,163,159,44/56
AUDI,R8 2DR V10 PLUS COUPE FSI QUATTRO,08,443,190,125,265,1635,101,56,30,72,107,100,78,163,159,44/56
AUDI,R8 2DR V10 SPYDER FSI QUATTRO CONV,10,443,190,125,265,1774,109,159,N/A,73,115,99,79,164,160,44/56
AUDI,R8 2DR V8 COUPE FSI QUATTRO,08,443,190,125,265,1625,101,56,30,72,107,100,78,163,159,44/56
AUDI,R8 2DR V8 SPYDER FSI QUATTRO CONV,10,443,190,125,265,1695,109,159,N/A,73,115,99,79,164,160,44/56
AUDI,RS5 2DR CABRIOLET 4.2 TFSI S tronic,10,464,185,137,275,2040,124,49,33,77,111,89,102,157,155,51/49
AUDI,RS5 2DR COUPE 4.2 FSI QUATTRO,10,464,185,137,275,1820,124,49,33,77,111,89,102,157,155,51/49
AUDI,RS7 4DR HATCHBACK 4.0 TFSI QUATTRO,14,501,191,142,291,2030,144,232,34,78,112,97,114,164,164,54/46
AUDI,S3 SEDAN TFSI QUATTRO,14,447,180,142,264,1565,120,47,34,78,108,87,95,155,153,60/40
AUDI,S4 4DR SEDAN 3.0 TFSI QUATTRO/PREMIUM,09,470,183,143,281,1750,124,50,36,79,106,88,103,155,154,55/45
AUDI,S5 2DR CABRIOLET 3.0 TFSI QUATTRO/PREMIUM,10,464,185,137,275,1955,124,49,33,77,111,89,102,157,155,51/49
AUDI,S5 2DR COUPE 3.0 TFSI QUATTRO/QUATTRO PREMIUM,08,464,185,137,275,1750,124,49,33,77,111,89,102,157,155,51/49
AUDI,S6 4DR SEDAN 4.0 TFSI QUATTRO,11,492,187,146,291,1995,140,58,37,80,111,92,109,163,162,55/45
AUDI,S7 4DR HATCHBACK 4.0 TFSI QUATTRO,11,497,191,142,291,2045,140,230,34,78,112,93,112,164,164,54/46
AUDI,S8 4DR SEDAN 4.0 TFSI QUATTRO,10,512,195,146,299,2125,146,67,32,82,114,100,114,163,163,56/44
AUDI,SQ5 5DR SUV 3.0 TFSI QUATTRO,09,463,190,166,281,2000,126,156,40,86,116,91,93,160,160,53/47
